id;sample_type_id;analysis_service_id;longitude;latitude
1;JBOD Rican ivory;Cotton Assurance;Saint synthesizing;grey Sleek
2;white olive Avon;Planner;generate firmware;primary Borders Handcrafted
3;facilitate;Global;Rubber whiteboard;end-to-end
4;District impactful Rubber;Central bifurcated Product;Managed;Car
5;Implemented orchestration transmitter;Movies uniform;reboot;Buckinghamshire Shoes aggregate
6;Coordinator Hat e-commerce;Granite;Product application;Industrial microchip
7;programming transmitting;Incredible circuit Down-sized;24/7 Dollar;Practical Shoes
8;payment Human THX;Wyoming up;Pizza;exuding payment Berkshire
9;Bedfordshire;Buckinghamshire Handmade;sticky parsing deposit;Bedfordshire Forest customized
10;bluetooth Fiji;Designer Vermont Maine;experiences override;Fantastic Data
