id;sample_id;sample_type_id;date_collected;date_received;sample_condition;client_id;priority;status;remarks;location_id;sector_id;district_id;procince_id
1;Loan;bluetooth backing XML;2023-04-13;2023-04-13;copy Licensed;Automotive Exclusive;35327;synergistic;Handmade synergies;Clothing logistical;interface JBOD Chips;United Hat;grid-enabled Bedfordshire Account
2;Generic;mint;2023-04-12;2023-04-12;open-source plum;Chips;88494;RAM Ball;Georgia global Concrete;Avon Track;Salad Games invoice;Auto Gorgeous;Egyptian Garden
3;invoice;Grocery Electronics Senior;2023-04-13;2023-04-13;vortals;standardization FTP Keyboard;8216;monitor protocol compress;transition Intelligent;Carolina;open-source;GB;HTTP success
4;Handcrafted matrix Ball;actuating cross-platform Delaware;2023-04-13;2023-04-12;port Rubber;Specialist;66789;Customer-focused methodology reciprocal;Checking;Producer;Table;Consultant;Assurance
5;Health copying;Gabon;2023-04-13;2023-04-13;Alabama;FTP programming;73528;methodical PNG;Benin Solutions Director;Frozen;bricks-and-clicks India Wooden;withdrawal International;Automated Web e-services
6;Future;Lari;2023-04-12;2023-04-12;Loaf Sports;Bike Canyon;22798;Berkshire;aggregate primary auxiliary;Implementation;Tasty functionalities calculating;Account SCSI;Chips Haiti
7;multi-state Hat encryption;Savings invoice transmit;2023-04-13;2023-04-12;International;Turkey Cambridgeshire;19291;Dollar Product;Chips seize Ergonomic;Account;alarm program;invoice auxiliary;navigate Wyoming AGP
8;digital;Oklahoma Function-based;2023-04-12;2023-04-12;clicks-and-mortar;exploit Steel;81453;virtual;Account value-added olive;quantifying;Automotive;Shirt;Maryland
9;Common Prairie Washington;functionalities;2023-04-12;2023-04-12;Island foreground;Missouri Chief;57589;SQL;customized e-services;Escudo;card Soft;Investor Rubber;multi-byte Configuration
10;Frozen;Branch array;2023-04-12;2023-04-12;empowering Intelligent;XSS Synergized;9001;black Customer white;content;networks;heuristic;Avon Reduced Optimization;Web Mobility Account
