id;name;code;location_type;longitude;latitude
1;Secured Program;the program Ghana;magnetic;Soft Colombia;installation International generating
2;Chief;connecting;Gold harness;neural;e-commerce Reverse-engineered Directives
3;Bedfordshire;Outdoors;pink;SCSI;Diverse
4;Fuerte Sports;17(E.U.A.-17) Frozen Venezuela;analyzer;JSON open-source e-services;Monaco Business-focused RAM
5;Designer Austria;Generic;Soft impactful Pataca;deposit alarm;fuchsia Leu
6;Account Movies Stream;Licensed Forward;connect Toys Assurance;teal;blockchains
7;Refined Nicaragua synthesize;digital withdrawal;Maine IB;Parks;utilisation Gardens
8;Division viral Investment;Zambia viral approach;harness;Configuration;Tasty Pike
9;Movies;Fresh;Cambridgeshire Zloty;orchid Bike;iterate Hollow Manager
10;Bedfordshire;parsing Salad;azure;transitional;THX Shoals Causeway
